seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds
51,seed_51,C_physical_quantity,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Mean,149367.6454396045,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8752376897970767,0.8571428571428571,0.96,0.9056603773584906,167,126,76,50,70,56,0.33719360000031884
51,seed_51,C_physical_quantity,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Q3,180607.26672,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.7959972394755003,0.90625,0.90625,0.90625,219,74,94,32,94,32,0.3828988000004756
51,seed_51,C_physical_quantity,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Q3+IQR/2,227427.68412000002,"{""C"": 10, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.799404761904762,0.8888888888888888,0.7619047619047619,0.8205128205128205,247,46,105,21,108,18,0.3540881000008085
