feature_set,cutoff_rule,cv_f1_mean,cv_f1_std,cv_f1_min,cv_f1_max,cv_f1_count,classifier_precision_mean,classifier_precision_std,classifier_precision_min,classifier_precision_max,classifier_precision_count,classifier_recall_mean,classifier_recall_std,classifier_recall_min,classifier_recall_max,classifier_recall_count,classifier_f1_mean,classifier_f1_std,classifier_f1_min,classifier_f1_max,classifier_f1_count,test_predicted_high_count_mean,test_predicted_high_count_std,test_predicted_high_count_min,test_predicted_high_count_max,test_predicted_high_count_count
A_all_21,Mean,0.9021189906049074,0.01563427853462256,0.8759801158202224,0.9316116690578672,10,0.8784165999121795,0.06028998708892307,0.7333333333333333,0.9682539682539684,10,0.9174167079642412,0.037652386250660724,0.8627450980392157,0.979591836734694,10,0.8965867941171153,0.04179181813977232,0.7927927927927928,0.9384615384615383,10,56.4,5.253570214625479,50,66,10
A_all_21,Q3,0.8593740841956483,0.0213303802261433,0.821658615136876,0.900105686594188,10,0.8987364870241725,0.07862912609472801,0.7586206896551724,0.9705882352941176,10,0.842667552446305,0.06648742941073686,0.7674418604651163,0.9285714285714286,10,0.8652272738280982,0.031287137950527844,0.8301886792452831,0.935483870967742,10,31.9,4.909175083453431,26,43,10
A_all_21,Q3+IQR/2,0.8832533640673427,0.04137548924200999,0.8224829384249674,0.9306397306397306,10,0.9207703013995922,0.05025830846160475,0.8333333333333334,1.0,10,0.8299167499167499,0.10600264037920139,0.6666666666666666,0.9545454545454546,10,0.8703031280188018,0.07232714775018276,0.7692307692307693,0.9545454545454546,10,19.9,3.9567101935263778,12,26,10
B_no_component_costs,Mean,0.8831916685941893,0.026287900503425516,0.842908993593925,0.9337775741143824,10,0.8592495882513917,0.07346994985229192,0.71875,0.9523809523809524,10,0.9061246081925963,0.034319374328201466,0.8333333333333334,0.96,10,0.8807690591395296,0.047821149325751,0.7920792079207921,0.9230769230769232,10,57.0,4.988876515698588,51,64,10
B_no_component_costs,Q3,0.8155445699059032,0.036873931323279756,0.7710101448703273,0.8757896692679301,10,0.8694871149435045,0.09386672651200542,0.7142857142857143,0.9696969696969696,10,0.7959682181662038,0.058529329156433184,0.7209302325581395,0.9285714285714286,10,0.8267224202134209,0.042328384163832604,0.7586206896551724,0.8813559322033898,10,31.0,2.494438257849294,27,34,10
B_no_component_costs,Q3+IQR/2,0.804452838063513,0.029382936886883836,0.7596269205464607,0.8472222222222223,10,0.8757696708325999,0.09173348015768223,0.6956521739130435,1.0,10,0.7072596153846155,0.09846235379339918,0.5714285714285714,0.875,10,0.7753120627505032,0.05900253327238361,0.7058823529411765,0.875,10,17.9,3.900142447541002,13,24,10
C_physical_quantity,Mean,0.8818794083412556,0.02764042830633168,0.8400750750750752,0.929594163246694,10,0.8638063537250631,0.0592984086871671,0.7540983606557377,0.953125,10,0.90353721353324,0.0322489977973884,0.8541666666666666,0.96,10,0.8821868671539195,0.03694626234192832,0.82,0.931297709923664,10,56.5,5.275730597114805,48,64,10
C_physical_quantity,Q3,0.8235700278004726,0.034117438358317646,0.7817584480600751,0.8702260504967642,10,0.8710809099625513,0.08740748119890554,0.7142857142857143,1.0,10,0.7915166195069336,0.06953103563015041,0.6829268292682927,0.90625,10,0.8249862117847137,0.04554260030386167,0.7692307692307693,0.90625,10,30.7,2.3118054512532926,27,34,10
C_physical_quantity,Q3+IQR/2,0.805050666783738,0.03989723373509494,0.7614233841684822,0.8800287356321839,10,0.8981245232646835,0.06987234113086231,0.75,1.0,10,0.7322947885447886,0.09704257215938512,0.5625,0.875,10,0.8024668649387048,0.06879805141326246,0.7058823529411765,0.9,10,17.9,3.0349812373573437,12,23,10
