seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds,source_task
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,Q3+IQR/2,231146.88912,"{""C"": 10, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8804939961780897,0.9333333333333332,0.6666666666666666,0.7777777777777778,249,44,105,21,111,15,0.2273015000000668,A_all_21_seed46
47,seed_47,A_all_21,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Mean,149455.57376518776,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8878297641035536,0.8727272727272727,0.96,0.9142857142857144,167,126,76,50,71,55,0.2162256999999954,A_all_21_seed47
47,seed_47,A_all_21,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Q3,186341.08104,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8524903294651193,0.8387096774193549,0.9285714285714286,0.8813559322033898,219,74,98,28,95,31,0.224822099999983,A_all_21_seed47
47,seed_47,A_all_21,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Q3+IQR/2,236416.03020000004,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8224829384249674,0.85,0.85,0.85,253,40,106,20,106,20,0.2240126999995482,A_all_21_seed47
48,seed_48,A_all_21,e9e1331b27f17b73295707f546e198a7a805e20e4e4c0ce431a42529e21c8740,1115fcdeb87f670a34953e9a399af07ab4d3812db875679a38639579782c77b2,Mean,142432.68411619155,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8942462493153958,0.9682539682539684,0.9104477611940298,0.9384615384615383,170,123,59,67,63,63,0.3407661000001099,A_all_21_seed48
48,seed_48,A_all_21,e9e1331b27f17b73295707f546e198a7a805e20e4e4c0ce431a42529e21c8740,1115fcdeb87f670a34953e9a399af07ab4d3812db875679a38639579782c77b2,Q3,172503.33768,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.821658615136876,0.9142857142857144,0.7804878048780488,0.8421052631578947,219,74,85,41,91,35,0.2696295999994618,A_all_21_seed48
48,seed_48,A_all_21,e9e1331b27f17b73295707f546e198a7a805e20e4e4c0ce431a42529e21c8740,1115fcdeb87f670a34953e9a399af07ab4d3812db875679a38639579782c77b2,Q3+IQR/2,217622.21076,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8623426382047072,0.9230769230769232,0.75,0.8275862068965517,251,42,94,32,100,26,0.2374833999992915,A_all_21_seed48
49,seed_49,A_all_21,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Mean,148264.22161079905,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9110736039134272,0.896551724137931,0.896551724137931,0.896551724137931,175,118,68,58,68,58,0.2599739999996018,A_all_21_seed49
49,seed_49,A_all_21,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Q3,177010.71696000002,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.900105686594188,0.7906976744186046,0.918918918918919,0.85,219,74,89,37,83,43,0.3154368999994403,A_all_21_seed49
49,seed_49,A_all_21,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Q3+IQR/2,222112.26612000004,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.8408956634763086,0.9565217391304348,0.9166666666666666,0.9361702127659576,247,46,102,24,103,23,0.3058046000005561,A_all_21_seed49
50,seed_50,A_all_21,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,Mean,146587.48120233486,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9037536790614767,0.8727272727272727,0.979591836734694,0.9230769230769232,165,128,77,49,71,55,0.449942899999769,A_all_21_seed50
50,seed_50,A_all_21,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,Q3,177010.71696000002,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8574812038636592,0.9666666666666668,0.7837837837837838,0.8656716417910447,219,74,89,37,96,30,0.3922152000004644,A_all_21_seed50
