seed,split_id,feature_set,train_index_hash,test_index_hash,model_family,model,cutoff_rule,training_derived_cutoff_value,transfer_strategy,selected_hyperparameters,frozen_layers,learning_rate,training_epochs,run_status,elapsed_seconds,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,source_task,analysis_label
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,two_stage_tl_exploratory,"Two-stage, transfer",Q3,190358.76024,Balanced,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.01, ""trainable_hidden"": 1}, ""svm"": {""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3""]",0.01,"{""high"": 21, ""low"": 155}",complete,5.924632599999768,0.9080346587081466,18.169275242002215,24467.675758400503,41170.171134666525,51976.10945373187,15188.48569301797,8263.685335374921,2441.2687808538653,0.4285714285714285,24,14,0.7586206896551724,0.9166666666666666,0.8301886792452831,219.0,74.0,102.0,24.0,97.0,29.0,A_all_21_seed42,Two-stage TL | Q3 | Balanced
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,two_stage_tl_exploratory,"Two-stage, transfer",Q3,190358.76024,Aggressive,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.05, ""trainable_hidden"": ""all""}, ""svm"": {""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}}",[],0.05,"{""high"": 16, ""low"": 155}",complete,5.660224500000368,0.6937954666238576,29.949243084902974,44646.39849836571,46708.9550437735,52662.82203807685,20219.76957229903,8878.522399326146,7877.655601953054,0.4206349206349206,24,14,0.7586206896551724,0.9166666666666666,0.8301886792452831,219.0,74.0,102.0,24.0,97.0,29.0,A_all_21_seed42,Two-stage TL | Q3 | Aggressive
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,two_stage_no_tl,"Two-stage, no transfer",Q3+IQR/2,242028.252,,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}}",[],0.001,"{""high"": 118, ""low"": 61}",complete,30.851886299999933,0.861593176763731,18.947883090024916,30016.453176666582,59573.49929001839,74915.54641034178,16601.02681907088,7780.798517179966,5595.125001741338,0.3888888888888889,24,14,0.8333333333333334,0.7142857142857143,0.7692307692307693,249.0,44.0,112.0,14.0,114.0,12.0,A_all_21_seed42,Two-stage no TL | Q3+IQR/2
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,two_stage_tl_exploratory,"Two-stage, transfer",Q3+IQR/2,242028.252,Conservative,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.001, ""trainable_hidden"": 0}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}}","[""dense_3"", ""dense_4""]",0.001,"{""high"": 83, ""low"": 61}",complete,12.845907700000224,0.8799692432763779,19.218172191796388,27952.90157097834,53816.05579242165,66445.76281692246,16820.260709027458,8076.613427063101,6364.835745601014,0.3888888888888889,24,14,0.8333333333333334,0.7142857142857143,0.7692307692307693,249.0,44.0,112.0,14.0,114.0,12.0,A_all_21_seed42,Two-stage TL | Q3+IQR/2 | Conservative
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,two_stage_tl_exploratory,"Two-stage, transfer",Q3+IQR/2,242028.252,Balanced,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.01, ""trainable_hidden"": 1}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}}","[""dense_3""]",0.01,"{""high"": 56, ""low"": 61}",complete,9.943759799999953,0.9234708470318668,18.24994463900608,22319.99415269018,39636.77665876968,47714.32520274681,14602.441417824488,7609.195998988196,3127.098710328766,0.4047619047619047,24,14,0.8333333333333334,0.7142857142857143,0.7692307692307693,249.0,44.0,112.0,14.0,114.0,12.0,A_all_21_seed42,Two-stage TL | Q3+IQR/2 | Balanced
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,two_stage_tl_exploratory,"Two-stage, transfer",Q3+IQR/2,242028.252,Aggressive,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.05, ""trainable_hidden"": ""all""}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}}",[],0.05,"{""high"": 11, ""low"": 61}",complete,4.627062099999876,0.8413398005706841,19.82144162555746,32137.687328972926,58957.9101055721,72049.47788644557,18323.3656915833,8076.613427063101,5995.790790457954,0.3888888888888889,24,14,0.8333333333333334,0.7142857142857143,0.7692307692307693,249.0,44.0,112.0,14.0,114.0,12.0,A_all_21_seed42,Two-stage TL | Q3+IQR/2 | Aggressive
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,two_stage_tl_nested_selected,"Two-stage TL, training-selected",Mean,154018.6739051335,Balanced,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""selection_endpoint"": ""rmse_q3"", ""strategy"": {""lr"": 0.01, ""trainable_hidden"": 1}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3""]",0.01,"{""high"": 30, ""low"": 139}",complete,8.225602499999695,0.873130729965481,19.31166881426105,28738.15241464816,50307.941144378565,64031.42553969972,17238.881649250437,9332.203723824035,101.87422478023554,0.3968253968253968,24,14,0.8627450980392157,0.9166666666666666,0.8888888888888888,178.0,115.0,78.0,48.0,75.0,51.0,A_all_21_seed42,Two-stage TL | training-selected
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,single,CatBoost,,,,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}",[],,{},complete,44.59346570000025,0.876679284829643,12.38283551000764,31806.328343442867,43311.13427625908,58704.23436747737,17170.221772109348,7835.820186473415,4985.195937964601,0.4603174603174603,40,20,,,,,,,,,,A_all_21_seed43,CatBoost
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,single,XGBoost,,,,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 600}",[],,{},complete,9.509407600000031,0.8477321047381285,13.89910034734148,35342.697450620886,54699.99691372691,74951.80687524407,19553.320428846724,9661.662786249988,5482.339711753463,0.4047619047619047,40,20,,,,,,,,,,A_all_21_seed43,XGBoost
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,single,Monotonic GBM,,,,"{""learning_rate"": 0.03, ""max_depth"": 7, ""n_estimators"": 300}",[],,{},complete,2.01725419999957,0.7253546656183572,20.40258003416812,47465.89055050634,59541.10253004043,77654.15445110586,28192.8131086179,12145.785162220796,12770.908167045556,0.4365079365079365,40,20,,,,,,,,,,A_all_21_seed43,Monotonic GBM
