seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds
43,seed_43,C_physical_quantity,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Mean,148856.99495687414,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.911450680771868,0.8679245283018868,0.9019607843137255,0.8846153846153846,168,125,75,51,73,53,0.39698309999948833
43,seed_43,C_physical_quantity,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Q3,174395.51352,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8412617220801364,0.967741935483871,0.75,0.8450704225352113,219,74,86,40,95,31,0.3762647999992623
43,seed_43,C_physical_quantity,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Q3+IQR/2,219972.29544000002,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8519383135257499,0.75,0.75,0.75,242,51,106,20,106,20,0.3562749000002441
