seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Mean,Conservative,143272.34293068782,200.0,200.0,"[""dense_3"", ""dense_4""]",0.6798751942485881,17.505945166846228,72855.01067671999,141129.71304130834,174060.31333572048,35579.62906305029,18111.67332146356,-10427.320805560536,0.47959183673469385,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Mean,Balanced,143272.34293068782,200.0,20.0,"[""dense_3""]",0.941829966100914,11.550862772184956,31056.279072412086,54434.771153005706,67061.42591811199,18626.607490220955,10159.20983750248,-5939.8259090627425,0.5204081632653061,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Mean,Aggressive,143272.34293068782,200.0,42.0,[],0.3433549114758556,22.59863607276512,104343.4308347448,203472.42973632537,251580.30954088565,48732.31239207489,22069.28873488254,-14559.992405911937,0.5102040816326531,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Q3,Conservative,183592.89504,35.0,69.0,"[""dense_3"", ""dense_4""]",0.7991471059775512,14.084324470095588,57708.37018952228,113532.3050490787,136520.4466338845,27436.007796976766,10147.156001165658,-10412.724263390714,0.5510204081632653,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Q3,Balanced,183592.89504,35.0,12.0,"[""dense_3""]",0.8904916954296116,12.273273249244356,42611.15339330754,81695.51679545412,99354.52197167288,20926.079795275207,9992.058918433657,-5774.096250004273,0.5306122448979592,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Q3,Aggressive,183592.89504,35.0,7.0,[],0.6097129505301946,19.733316882987143,80443.6620001394,150004.68218266586,171637.8382581816,39175.946541420155,11345.824729085885,5085.335401435608,0.47959183673469385,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Q3+IQR/2,Conservative,233620.0614,101.0,58.0,"[""dense_3"", ""dense_4""]",0.8535210480494084,11.349358578967587,49281.89217369736,98626.79887737751,121487.35333569981,21566.45735546557,6580.8748665718595,-11489.869283452375,0.5,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Q3+IQR/2,Balanced,233620.0614,101.0,5.0,"[""dense_3""]",0.8195772625038545,12.369185209989169,54694.719091995765,106472.49046182292,131348.93471368446,23953.453665564677,7529.909075887315,-11383.350330165267,0.5204081632653061,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,0,Q3+IQR/2,Aggressive,233620.0614,101.0,61.0,[],0.577164605057437,13.613571550819417,83730.83638002396,168380.95616667927,207254.32295154198,30532.103182775325,7236.333356670852,-14688.771672944242,0.5,23.0,15.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Mean,Conservative,155629.2641996109,124.0,14.0,"[""dense_3"", ""dense_4""]",0.8767393218310794,16.249712215964305,27756.7879791809,40324.6198629948,45574.83501208019,18309.06151163477,11886.63890662993,1256.931387657354,0.4387755102040816,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Mean,Balanced,155629.2641996109,124.0,27.0,"[""dense_3""]",0.9117688310572485,15.192617687743523,23483.77702496717,34800.76411920476,33436.078764871956,16494.74434115867,11030.098623066071,4490.223297428394,0.3979591836734694,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Mean,Aggressive,155629.2641996109,124.0,21.0,[],0.9079603867604669,15.402571366274929,23985.25412225668,35327.52869530161,34143.95917189151,16574.880690872582,9221.979719534429,2270.0295083915776,0.42857142857142855,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Q3,Conservative,176420.93688000002,147.0,200.0,"[""dense_3"", ""dense_4""]",0.8297104941478303,17.750655957384776,32625.026585697553,52910.23611574154,59821.10134232855,20716.38690140568,8902.2572402392,8419.511294011385,0.5306122448979592,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Q3,Balanced,176420.93688000002,147.0,13.0,"[""dense_3""]",0.8218868508037469,16.52052085523052,33366.05972422159,57655.62059402875,75564.35840769233,18993.917701025402,8775.575303143152,3678.8610229708993,0.5714285714285714,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Q3,Aggressive,176420.93688000002,147.0,175.0,[],0.8555035341130712,15.734358548731835,30052.841731295593,50700.42612052248,68600.44509492215,17294.40691594285,8650.375939640882,3961.2222310863626,0.5408163265306123,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Q3+IQR/2,Conservative,221134.85316000003,57.0,200.0,"[""dense_3"", ""dense_4""]",0.8676809644575961,16.087218491714513,28758.623486493525,47564.48267462473,63823.40244803405,18862.80073852072,10642.81593922239,11211.571225662885,0.37755102040816324,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Q3+IQR/2,Balanced,221134.85316000003,57.0,7.0,"[""dense_3""]",0.8687348070345413,16.01789930855033,28643.871864755096,47329.91015625048,60318.00876686672,18350.589618656293,9949.431304702703,11802.1328210643,0.3673469387755102,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,1,Q3+IQR/2,Aggressive,221134.85316000003,57.0,2.0,[],0.466259427801334,20.749998692617815,57759.315799793265,103640.43841314963,136052.65576852308,30386.36205191985,10642.81593922239,23837.905254327852,0.3673469387755102,29.0,14.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,2,Mean,Conservative,149202.17774081632,200.0,130.0,"[""dense_3"", ""dense_4""]",0.7913797195487359,30.116808813788197,44887.0896284933,70151.68181363573,81889.69377146773,28979.031844114466,18774.514040775583,-689.5526778516523,0.44329896907216493,24.0,17.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,2,Mean,Balanced,149202.17774081632,200.0,93.0,"[""dense_3""]",0.6634810410917669,29.919216885524975,57009.59471461931,101781.85225799521,120140.40963168385,28498.041351587693,13572.034216860891,5328.284366311233,0.5154639175257731,24.0,17.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,2,Mean,Aggressive,149202.17774081632,200.0,45.0,[],0.8419526045387574,28.221737363020456,39069.410363861236,51994.39783772336,59045.183827835644,23466.65428115228,13572.034216860891,-3140.9121504290365,0.5567010309278351,24.0,17.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,2,Q3,Conservative,180641.69046,156.0,33.0,"[""dense_3"", ""dense_4""]",0.8123866184604951,21.16520814506039,42567.20067881635,77951.03123296218,90009.4805405332,25046.613435859563,16141.703761418066,-12771.03610143435,0.5463917525773195,24.0,17.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,2,Q3,Balanced,180641.69046,156.0,16.0,"[""dense_3""]",0.9047563746802832,20.240289106249456,30329.213213636707,39345.40136268252,40616.59385018537,19404.22425995996,13578.759126450474,-3189.6170972336477,0.4948453608247423,24.0,17.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,2,Q3,Aggressive,180641.69046,156.0,170.0,[],0.7062318311713167,25.188826907644458,53265.44422566416,82228.82826979073,90091.23111663255,30757.400341571643,16141.703761418066,-1690.9269833108615,0.4742268041237113,24.0,17.0,
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,fold,2,Q3+IQR/2,Conservative,226832.27373000002,74.0,19.0,"[""dense_3"", ""dense_4""]",0.8987469895007413,17.148132124678604,31271.38796451199,55787.07645598588,64252.7516874597,18459.651136647528,10877.332961228502,-6306.451610909737,0.4948453608247423,24.0,17.0,
