seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Mean,Conservative,137828.82165415387,92.0,200.0,"[""dense_3"", ""dense_4""]",0.5940598984534677,51.169871017723914,64304.19769027314,98342.5764010617,107680.99632036309,39147.0958209644,23138.34829741766,-3719.224275886239,0.5,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Mean,Balanced,137828.82165415387,92.0,5.0,"[""dense_3""]",0.5642586195533869,52.379449243931084,66622.77964929675,100289.6896417342,109648.92672762406,37714.861817518875,19572.05378056001,-2866.107523640983,0.4897959183673469,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Mean,Aggressive,137828.82165415387,92.0,16.0,[],0.6408206058918544,43.77452410178691,60487.27961157498,102387.37468935514,110772.11927901724,34825.13763759769,19300.97298709101,1062.2090258917906,0.45918367346938777,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Q3,Conservative,172227.54852,52.0,200.0,"[""dense_3"", ""dense_4""]",0.7588476964710995,43.41472995021359,49562.596854719784,77287.17210207666,83742.41533913313,29325.02232123897,15231.855561561955,-6134.317911251382,0.47959183673469385,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Q3,Balanced,172227.54852,52.0,9.0,"[""dense_3""]",0.6582839397223055,51.12523966568475,58998.50967141715,80065.95691764537,86534.01813907492,31483.592734379643,15087.470752165449,-4175.665935559146,0.4897959183673469,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Q3,Aggressive,172227.54852,52.0,35.0,[],0.6744358636273408,49.20274550461642,57587.2877818291,85793.64524539103,92020.84355264687,31997.599927369476,13327.134948710023,-2976.4415824766693,0.5,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Q3+IQR/2,Conservative,216709.01712000003,61.0,29.0,"[""dense_3"", ""dense_4""]",0.7147600623326005,46.03160707179037,53903.07145077114,94505.04237277285,103620.1804842991,31577.849740932754,14337.850421996161,1463.8440735050012,0.3673469387755102,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Q3+IQR/2,Balanced,216709.01712000003,61.0,13.0,"[""dense_3""]",0.6449115498516141,54.72770630883741,60141.82729465219,95684.44063283391,101734.2981789295,33581.92010942211,14337.850421996161,10658.310550496017,0.336734693877551,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,0,Q3+IQR/2,Aggressive,216709.01712000003,61.0,60.0,[],0.5902827618180919,60.875350197885325,64602.6695100285,85127.87687345681,89805.6279170163,34790.457768979955,15395.893454880104,4864.8191693822755,0.35714285714285715,23.0,19.0,
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,fold,1,Mean,Conservative,136472.1480826878,54.0,65.0,"[""dense_3"", ""dense_4""]",0.6691549190059195,31.546403564351017,57276.46344293585,81095.46846244551,99404.12674627744,35271.395973315906,24829.61402501531,-3284.9852481867647,0.5306122448979592,34.0,22.0,
