seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds
51,seed_51,B_no_component_costs,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Mean,149367.6454396045,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8657533945115645,0.8727272727272727,0.96,0.9142857142857143,167,126,76,50,71,55,0.4133574999996199
51,seed_51,B_no_component_costs,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Q3,180607.26672,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.7951447245564892,0.9629629629629629,0.8125,0.8813559322033898,219,74,94,32,99,27,0.43226489999960904
51,seed_51,B_no_component_costs,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Q3+IQR/2,227427.68412000002,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.8041666666666667,0.9375,0.7142857142857143,0.8108108108108109,247,46,105,21,110,16,0.4183930999997756
