seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_n_at_or_above_train_q3,test_n_at_or_above_train_q3_iqr2
51,seed_51,B_no_component_costs,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Mean,149367.6454396045,167,126,76,50,32,21
51,seed_51,B_no_component_costs,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Q3,180607.26672,219,74,94,32,32,21
51,seed_51,B_no_component_costs,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Q3+IQR/2,227427.68412000002,247,46,105,21,32,21
