seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds
49,seed_49,C_physical_quantity,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Mean,148264.22161079905,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8831460477030099,0.8833333333333333,0.9137931034482759,0.8983050847457628,175,118,68,58,66,60,0.37518420000014885
49,seed_49,C_physical_quantity,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Q3,177010.71696000002,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8681196581196581,0.8235294117647058,0.7567567567567568,0.7887323943661971,219,74,89,37,92,34,0.3767494000003353
49,seed_49,C_physical_quantity,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Q3+IQR/2,222112.26612000004,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8075287356321837,0.9130434782608695,0.875,0.8936170212765957,247,46,102,24,103,23,0.3173196999996435
