seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Mean,148264.22161079905,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8937776924809958,0.8833333333333333,0.9137931034482759,0.8983050847457628,175,118,68,58,66,60,0.3526384999995571
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Q3,177010.71696000002,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.8592995169082126,0.8529411764705882,0.7837837837837838,0.8169014084507042,219,74,89,37,92,34,0.38503320000017993
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Q3+IQR/2,222112.26612000004,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.7897509578544061,0.875,0.875,0.875,247,46,102,24,102,24,0.3541478000006464
