seed,split_id,feature_set,train_index_hash,test_index_hash,model,search_type,candidate,mean_validation_mae,std_validation_mae,rank,selected,cutoff_rule,mean_validation_f1,std_validation_f1
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.03}",27927.984122250113,6382.851813918209,8,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.1}",27292.77923857928,5175.152921739716,5,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.03}",26247.855690598935,5565.630195587225,1,True,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}",27613.83573839279,5025.03067132856,6,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.03}",27870.862522754574,7811.317095601865,7,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.1}",27012.288088665537,6622.6636977868875,3,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 6, ""iterations"": 600, ""learning_rate"": 0.03}",26315.121365066603,7382.7507272024895,2,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 6, ""iterations"": 600, ""learning_rate"": 0.1}",27079.279573068343,6555.983772686611,4,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 8, ""iterations"": 300, ""learning_rate"": 0.03}",29600.127094358322,8136.032476994722,12,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 8, ""iterations"": 300, ""learning_rate"": 0.1}",29491.474632049572,8146.101919082954,10,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 8, ""iterations"": 600, ""learning_rate"": 0.03}",28193.312621274934,7741.704420319951,9,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,CatBoost,CatBoost_grid,"{""depth"": 8, ""iterations"": 600, ""learning_rate"": 0.1}",29534.753135158913,8114.3442059255185,11,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",29541.752260011068,9296.164556936455,1,True,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600}",29660.60887750491,8989.863576603226,2,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300}",31072.464586597936,8646.875159816766,6,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 600}",31030.585848223884,8523.503644642455,5,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.03, ""max_depth"": 7, ""n_estimators"": 300}",31685.874899253453,9165.26158977829,9,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.03, ""max_depth"": 7, ""n_estimators"": 600}",31706.05168615356,8998.539324265066,10,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",30124.039765511054,8337.175042377785,3,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 600}",30324.984707159645,8055.385396014775,4,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300}",31204.020073788106,8559.481190618904,7,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 600}",31218.8581697401,8549.565533058241,8,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300}",31785.655802170775,9633.566069324635,12,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,XGBoost,XGBoost_grid,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 600}",31785.559655452584,9633.617654959573,11,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Monotonic GBM,Monotonic GBM_grid,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",34158.0813673126,3208.822972809847,1,True,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Monotonic GBM,Monotonic GBM_grid,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600}",35417.68692083771,3271.295116978041,4,False,,,
47,seed_47,C_physical_quantity,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Monotonic GBM,Monotonic GBM_grid,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300}",34425.78390037841,3071.0926065083545,2,False,,,
