seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Mean,148856.99495687414,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8959722535909638,0.9056603773584906,0.9411764705882353,0.9230769230769231,168,125,75,51,73,53,0.2269946000001255
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Q3,174395.51352,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8648148148148148,0.9705882352941176,0.825,0.8918918918918919,219,74,86,40,92,34,0.24160389999997278
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Q3+IQR/2,219972.29544000002,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9011904761904761,0.9047619047619048,0.95,0.926829268292683,242,51,106,20,105,21,0.2126509999998234
